"comm_name","area_orig","n"
"Baird's beaked whale","California/Oregon/Washington",27
"Blainville's beaked whale","Hawaii",15
"Blainville's beaked whale","Hawaii Pelagic",12
"Blue whale","California/Mexico",2
"Blue whale","Central N Pacific",7
"Blue whale","Central North Pacific",8
"Blue whale","Eastern N Pacific",7
"Blue whale","Eastern North Pacific",18
"Blue whale","Hawaii",12
"Bryde's whale","California/Oregon/Washington",7
"Bryde's whale","Eastern Tropical Pacific",13
"Bryde's whale","Hawaii",27
"California sea lion","U.S.",26
"California sea lion","United States",1
"Common bottlenose dolphin","4 Islands Region",12
"Common bottlenose dolphin","4 Islands Region (new stock)",1
"Common bottlenose dolphin","California Coastal",21
"Common bottlenose dolphin","California coastal",6
"Common bottlenose dolphin","California/Oregon/Washington Offshore",25
"Common bottlenose dolphin","California/Oregon/Washington offshore",2
"Common bottlenose dolphin","Hawaii",12
"Common bottlenose dolphin","Hawaii Island",8
"Common bottlenose dolphin","Hawaii Island (new stock)",1
"Common bottlenose dolphin","Hawaii Pelagic",15
"Common bottlenose dolphin","Hawaiian Island",6
"Common bottlenose dolphin","KauaI and Niihau",4
"Common bottlenose dolphin","Kauai and Niihau",10
"Common bottlenose dolphin","Kauai and Niihau (new stock)",1
"Common bottlenose dolphin","Maui Nui",2
"Common bottlenose dolphin","Oahu",14
"Common bottlenose dolphin","Oahu (new stock)",1
"Cuvier's beaked whale","California/Oregon/Washington",27
"Cuvier's beaked whale","Hawaii",15
"Cuvier's beaked whale","Hawaii Pelagic",12
"Dall's porpoise","California/Oregon/Washington",27
"Dwarf sperm whale","California/Oregon/Washington",21
"Dwarf sperm whale","Hawaii",27
"False killer whale","American Samoa",14
"False killer whale","American Samoa (new stock)",1
"False killer whale","Hawaii",10
"False killer whale","Hawaii Insular",4
"False killer whale","Hawaii Pelagic",17
"False killer whale","Main Hawaiian Islands Insular",13
"False killer whale","NW Hawaiian Islands",7
"False killer whale","Northwest Hawaiian Islands",3
"False killer whale","Northwestern Hawaiian Islands",3
"False killer whale","Palmyra",1
"False killer whale","Palmyra Atoll",17
"Fin whale","California/Oregon/Washington",27
"Fin whale","Hawaii",27
"Fraser's dolphin","Hawaii",21
"Gray whale","Eastern N Pacific",7
"Gray whale","Eastern North Pacific",6
"Gray whale","Western N Pacific",7
"Gray whale","Western North Pacific",3
"Gray whale","Western North Pacific (new report)",1
"Guadalupe fur seal","Mexico",5
"Guadalupe fur seal","Mexico to California",22
"Harbor porpoise","Central California",5
"Harbor porpoise","Central Oregon",2
"Harbor porpoise","Inland Washington",3
"Harbor porpoise","Monterey Bay",23
"Harbor porpoise","Morro Bay",23
"Harbor porpoise","Northern CA/Southern OR",23
"Harbor porpoise","Northern California",5
"Harbor porpoise","Northern OR/Washington Coast",10
"Harbor porpoise","Northern Oregon/Washington Coast",6
"Harbor porpoise","Oregon & Washington coast",1
"Harbor porpoise","Oregon/Washington Coast",10
"Harbor porpoise","Oregon/Washington coast",1
"Harbor porpoise","San Francisco-Russian River",23
"Harbor porpoise","Washington Inland Waters",25
"Harbor seal","California",27
"Harbor seal","Hood Canal",12
"Harbor seal","Inland Washington",1
"Harbor seal","Oregon & Washington coast",1
"Harbor seal","Oregon/Washington Coast",25
"Harbor seal","Oregon/Washington coast",1
"Harbor seal","Southern Puget Sound",12
"Harbor seal","Washington Inland Waters",13
"Harbor seal","Washington Northern Inland Waters",12
"Harbor seal","Washington inland waters",1
"Hawaiian monk seal","Hawaii",28
"Humpback whale","American Samoa",16
"Humpback whale","California/Oregon/Mexico",1
"Humpback whale","California/Oregon/Washington",17
"Humpback whale","California/Oregon/Washington-Mexico",1
"Humpback whale","Central America/Southern Mexico-California/Oregon/Washington",3
"Humpback whale","Eastern North Pacific",6
"Humpback whale","Mainland Mexico-California/Oregon/Washington",3
"Killer whale","California/Oregon/Washington",2
"Killer whale","ENP Southern Resident Stock",1
"Killer whale","Eastern N Pacific Offshore",7
"Killer whale","Eastern N Pacific Southern Resident",7
"Killer whale","Eastern North Pacific Offshore",19
"Killer whale","Eastern North Pacific Southern Resident",18
"Killer whale","Eastern North Pacific Transient",3
"Killer whale","Hawaii",27
"Killer whale","Southern Resident Stock",2
"Long-beaked common dolphin","California",21
"Long-beaked common dolphin","California/Oregon/Washington",6
"Longman's beaked whale","Hawaii",21
"Melon-headed whale","Hawaii",15
"Melon-headed whale","Hawaiian Islands",12
"Melon-headed whale","Kohala Resident",12
"Mesoplodont beaked whales","California/Oregon/Washington",27
"Minke whale","California/Oregon/Washington",27
"Minke whale","Hawaii",21
"Northern elephant seal","California Breeding",10
"Northern elephant seal","California breeding",17
"Northern fur seal","California",11
"Northern fur seal","California Stock",1
"Northern fur seal","San Miguel Island",15
"Northern right whale dolphin","California/Oregon/Washington",27
"Northern sea otter","Northern (Washington)",1
"Northern sea otter","Washington",10
"Pacific white-sided dolphin","California/Oregon/Washington",27
"Pantropical spotted dolphin","4 Islands Region",10
"Pantropical spotted dolphin","Hawaii",15
"Pantropical spotted dolphin","Hawaii Island",12
"Pantropical spotted dolphin","Hawaii Pelagic",12
"Pantropical spotted dolphin","Maui Nui",2
