"group","osp_status","rf_sim","n","nstocks","nstrategic","pstrategic"
"Dolphins","Non-depleted",0.5,14,14,0,0
"Dolphins","Non-depleted",0.51,14,14,0,0
"Dolphins","Non-depleted",0.52,14,14,0,0
"Dolphins","Non-depleted",0.53,14,14,0,0
"Dolphins","Non-depleted",0.54,14,14,0,0
"Dolphins","Non-depleted",0.55,14,14,0,0
"Dolphins","Non-depleted",0.56,14,14,0,0
"Dolphins","Non-depleted",0.57,14,14,0,0
"Dolphins","Non-depleted",0.58,14,14,0,0
"Dolphins","Non-depleted",0.59,14,14,0,0
"Dolphins","Non-depleted",0.6,14,14,0,0
"Dolphins","Non-depleted",0.61,14,14,0,0
"Dolphins","Non-depleted",0.62,14,14,0,0
"Dolphins","Non-depleted",0.63,14,14,0,0
"Dolphins","Non-depleted",0.64,14,14,0,0
"Dolphins","Non-depleted",0.65,14,14,0,0
"Dolphins","Non-depleted",0.66,14,14,0,0
"Dolphins","Non-depleted",0.67,14,14,0,0
"Dolphins","Non-depleted",0.68,14,14,0,0
"Dolphins","Non-depleted",0.69,14,14,0,0
"Dolphins","Non-depleted",0.7,14,14,0,0
"Dolphins","Non-depleted",0.71,14,14,0,0
"Dolphins","Non-depleted",0.72,14,14,0,0
"Dolphins","Non-depleted",0.73,14,14,0,0
"Dolphins","Non-depleted",0.74,14,14,0,0
"Dolphins","Non-depleted",0.75,14,14,0,0
"Dolphins","Non-depleted",0.76,14,14,0,0
"Dolphins","Non-depleted",0.77,14,14,0,0
"Dolphins","Non-depleted",0.78,14,14,0,0
"Dolphins","Non-depleted",0.79,14,14,0,0
"Dolphins","Non-depleted",0.8,14,14,0,0
"Dolphins","Non-depleted",0.81,14,14,0,0
"Dolphins","Non-depleted",0.82,14,14,0,0
"Dolphins","Non-depleted",0.83,14,14,0,0
"Dolphins","Non-depleted",0.84,14,14,0,0
"Dolphins","Non-depleted",0.85,14,14,0,0
"Dolphins","Non-depleted",0.86,14,14,0,0
"Dolphins","Non-depleted",0.87,14,14,0,0
"Dolphins","Non-depleted",0.88,14,14,0,0
"Dolphins","Non-depleted",0.89,14,14,0,0
"Dolphins","Non-depleted",0.9,14,14,0,0
"Dolphins","Non-depleted",0.91,14,14,0,0
"Dolphins","Non-depleted",0.92,14,14,0,0
"Dolphins","Non-depleted",0.93,14,14,0,0
"Dolphins","Non-depleted",0.94,14,14,0,0
"Dolphins","Non-depleted",0.95,14,14,0,0
"Dolphins","Non-depleted",0.96,14,14,0,0
"Dolphins","Non-depleted",0.97,14,14,0,0
"Dolphins","Non-depleted",0.98,14,14,0,0
"Dolphins","Non-depleted",0.99,14,14,0,0
"Dolphins","Non-depleted",1,14,14,0,0
"Dolphins","Unknown",0.5,32,32,0,0
"Dolphins","Unknown",0.51,32,32,0,0
"Dolphins","Unknown",0.52,32,32,0,0
"Dolphins","Unknown",0.53,32,32,0,0
"Dolphins","Unknown",0.54,32,32,0,0
"Dolphins","Unknown",0.55,32,32,0,0
"Dolphins","Unknown",0.56,32,32,0,0
"Dolphins","Unknown",0.57,32,32,0,0
"Dolphins","Unknown",0.58,32,32,0,0
"Dolphins","Unknown",0.59,32,32,0,0
"Dolphins","Unknown",0.6,32,32,0,0
"Dolphins","Unknown",0.61,32,32,0,0
"Dolphins","Unknown",0.62,32,32,0,0
"Dolphins","Unknown",0.63,32,32,0,0
"Dolphins","Unknown",0.64,32,32,0,0
"Dolphins","Unknown",0.65,32,32,0,0
"Dolphins","Unknown",0.66,32,32,0,0
"Dolphins","Unknown",0.67,32,32,0,0
"Dolphins","Unknown",0.68,32,32,0,0
"Dolphins","Unknown",0.69,32,32,0,0
"Dolphins","Unknown",0.7,32,32,0,0
"Dolphins","Unknown",0.71,32,32,0,0
"Dolphins","Unknown",0.72,32,32,0,0
"Dolphins","Unknown",0.73,32,32,0,0
"Dolphins","Unknown",0.74,32,32,0,0
"Dolphins","Unknown",0.75,32,32,0,0
"Dolphins","Unknown",0.76,32,32,0,0
"Dolphins","Unknown",0.77,32,32,0,0
"Dolphins","Unknown",0.78,32,32,0,0
"Dolphins","Unknown",0.79,32,32,0,0
"Dolphins","Unknown",0.8,32,32,0,0
"Dolphins","Unknown",0.81,32,32,0,0
"Dolphins","Unknown",0.82,32,32,0,0
"Dolphins","Unknown",0.83,32,32,0,0
"Dolphins","Unknown",0.84,32,32,0,0
"Dolphins","Unknown",0.85,32,32,0,0
"Dolphins","Unknown",0.86,32,32,0,0
"Dolphins","Unknown",0.87,32,32,0,0
"Dolphins","Unknown",0.88,32,32,0,0
"Dolphins","Unknown",0.89,32,32,0,0
"Dolphins","Unknown",0.9,32,32,0,0
"Dolphins","Unknown",0.91,32,32,0,0
"Dolphins","Unknown",0.92,32,32,0,0
"Dolphins","Unknown",0.93,32,32,0,0
"Dolphins","Unknown",0.94,32,32,0,0
"Dolphins","Unknown",0.95,32,32,0,0
"Dolphins","Unknown",0.96,32,32,0,0
"Dolphins","Unknown",0.97,32,32,0,0
"Dolphins","Unknown",0.98,32,32,0,0
