"group","rmax_sim","n","nstocks","nstrategic","pstrategic","rmax_default"
"Dolphins/porpoises",0.03,63,63,5,0.0793650793650794,0.04
"Dolphins/porpoises",0.035,63,63,5,0.0793650793650794,0.04
"Dolphins/porpoises",0.04,63,63,5,0.0793650793650794,0.04
"Dolphins/porpoises",0.045,63,63,5,0.0793650793650794,0.04
"Dolphins/porpoises",0.05,63,63,4,0.0634920634920635,0.04
"Dolphins/porpoises",0.055,63,63,4,0.0634920634920635,0.04
"Dolphins/porpoises",0.06,63,63,4,0.0634920634920635,0.04
"Dolphins/porpoises",0.065,63,63,4,0.0634920634920635,0.04
"Dolphins/porpoises",0.07,63,63,4,0.0634920634920635,0.04
"Dolphins/porpoises",0.075,63,63,4,0.0634920634920635,0.04
"Dolphins/porpoises",0.08,63,63,4,0.0634920634920635,0.04
"Dolphins/porpoises",0.085,63,63,4,0.0634920634920635,0.04
"Dolphins/porpoises",0.09,63,63,4,0.0634920634920635,0.04
"Dolphins/porpoises",0.095,63,63,4,0.0634920634920635,0.04
"Dolphins/porpoises",0.097,63,63,4,0.0634920634920635,0.04
"Large whales",0.02,25,25,3,0.12,0.04
"Large whales",0.025,25,25,2,0.08,0.04
"Large whales",0.03,25,25,2,0.08,0.04
"Large whales",0.035,25,25,2,0.08,0.04
"Large whales",0.04,25,25,2,0.08,0.04
"Large whales",0.045,25,25,2,0.08,0.04
"Large whales",0.05,25,25,2,0.08,0.04
"Large whales",0.055,25,25,2,0.08,0.04
"Large whales",0.06,25,25,2,0.08,0.04
"Large whales",0.065,25,25,2,0.08,0.04
"Large whales",0.07,25,25,2,0.08,0.04
"Large whales",0.075,25,25,2,0.08,0.04
"Large whales",0.08,25,25,2,0.08,0.04
"Large whales",0.085,25,25,2,0.08,0.04
"Large whales",0.09,25,25,2,0.08,0.04
"Large whales",0.095,25,25,2,0.08,0.04
"Large whales",0.1,25,25,2,0.08,0.04
"Large whales",0.105,25,25,2,0.08,0.04
"Large whales",0.106,25,25,2,0.08,0.04
"Otariids",0.086,6,6,0,0,0.12
"Otariids",0.09,6,6,0,0,0.12
"Otariids",0.095,6,6,0,0,0.12
"Otariids",0.1,6,6,0,0,0.12
"Otariids",0.105,6,6,0,0,0.12
"Otariids",0.11,6,6,0,0,0.12
"Otariids",0.115,6,6,0,0,0.12
"Otariids",0.12,6,6,0,0,0.12
"Otariids",0.125,6,6,0,0,0.12
"Otariids",0.13,6,6,0,0,0.12
"Otariids",0.135,6,6,0,0,0.12
"Otariids",0.137,6,6,0,0,0.12
"Phocids",0.06,20,20,1,0.05,0.12
"Phocids",0.065,20,20,1,0.05,0.12
"Phocids",0.07,20,20,1,0.05,0.12
"Phocids",0.075,20,20,1,0.05,0.12
"Phocids",0.08,20,20,1,0.05,0.12
"Phocids",0.085,20,20,1,0.05,0.12
"Phocids",0.09,20,20,1,0.05,0.12
"Phocids",0.095,20,20,1,0.05,0.12
"Phocids",0.1,20,20,1,0.05,0.12
"Phocids",0.105,20,20,1,0.05,0.12
"Phocids",0.11,20,20,1,0.05,0.12
"Phocids",0.115,20,20,1,0.05,0.12
"Phocids",0.12,20,20,1,0.05,0.12
"Phocids",0.125,20,20,1,0.05,0.12
"Phocids",0.128,20,20,1,0.05,0.12
"Small whales",0.029,43,43,2,0.0465116279069767,0.04
"Small whales",0.03,43,43,2,0.0465116279069767,0.04
"Small whales",0.035,43,43,2,0.0465116279069767,0.04
"Small whales",0.04,43,43,2,0.0465116279069767,0.04
"Small whales",0.045,43,43,2,0.0465116279069767,0.04
"Small whales",0.048,43,43,2,0.0465116279069767,0.04
